,predicted_mean
2019-01-01,406.47807609497033
2019-02-01,407.3101448042502
2019-03-01,408.1582051546978
2019-04-01,409.5764574788279
2019-05-01,409.95400968969795
2019-06-01,409.41545730586137
2019-07-01,407.8315448675366
2019-08-01,405.7635455139173
2019-09-01,404.24279080123665
2019-10-01,404.4162095541773
2019-11-01,405.7748268693809
2019-12-01,407.2523965322543
2020-01-01,408.39376764822083
2020-02-01,409.22557103512224
2020-03-01,410.07336096392464
2020-04-01,411.4911610488638
2020-05-01,411.8685928693749
2020-06-01,411.3302122141442
2020-07-01,409.74680483917626
2020-08-01,407.6794649100745
2020-09-01,406.159195121599
2020-10-01,406.3325585763708
2020-11-01,407.6907426682438
2020-12-01,409.1678411773616
2021-01-01,410.3088483434573
2021-02-01,411.14038649258384
2021-03-01,411.98790608597056
2021-04-01,413.4052540759246
2021-05-01,413.7825655444657
2021-06-01,413.24435656308157
2021-07-01,411.6614540904206
2021-08-01,409.5947733755652
2021-09-01,408.0749883566666
2021-10-01,408.2482965309025
2021-11-01,409.60604753758713
2021-12-01,411.08267504318644
2022-01-01,412.2233183754644
2022-02-01,413.0545913713925
2022-03-01,413.9018407155657
2022-04-01,415.31873675469444
2022-05-01,415.6959279096423
2022-06-01,415.1578905473631
2022-07-01,413.5754928160104
2022-08-01,411.50947110519724
2022-09-01,409.9901707012968
2022-10-01,410.1634236126241
2022-11-01,411.5207416722186
2022-12-01,412.9968983244887
2023-01-01,414.1371779389648
2023-02-01,414.96818586624414
2023-03-01,415.8151650473783
2023-04-01,417.2316092797957
2023-05-01,417.60868015951473
2023-06-01,417.07081436161604
2023-07-01,415.4889212106245
2023-08-01,413.4235582937164
2023-09-01,411.90474235028455
2023-10-01,412.07794001632504
2023-11-01,413.4348252668836
2023-12-01,414.9105112159658
2024-01-01,416.05042722861907
2024-02-01,416.88117017177234
2024-03-01,417.72787927601456
2024-04-01,419.14387184578857
2024-05-01,419.5208224886311
2024-06-01,418.98312820040604
2024-07-01,417.40173946887967
2024-08-01,415.3370351358066
2024-09-01,413.8187034983631
2024-10-01,413.9918459367329
2024-11-01,415.3482985162656
2024-12-01,416.8235139122534
2025-01-01,417.9630664390258
2025-02-01,418.7935444825486
2025-03-01,419.63998359601857
2025-04-01,421.0555246471712
2025-05-01,421.4323550914772
2025-06-01,420.89483225823636
2025-07-01,419.3139477853305
2025-08-01,417.24990182608934
2025-09-01,415.7320543402031
2025-10-01,415.90514156851265
2025-11-01,417.26116161498567
2025-12-01,418.73590660792473
2026-01-01,419.8750957647212
2026-02-01,420.7053089930823
2026-03-01,421.55147820187216
2026-04-01,422.96656787837946
2026-05-01,423.3432781624768
2026-06-01,422.8059267295483
2026-07-01,421.22554635446966
2026-08-01,419.1621585591242
2026-09-01,417.64479507041347
2026-10-01,417.8178271062676
2026-11-01,419.17341475760304
2026-12-01,420.6476894974911
2027-01-01,421.7865154001798
2027-02-01,422.61646389782106
2027-03-01,423.46236328799546
2027-04-01,424.8770017337876
2027-05-01,425.2535918959918
2027-06-01,424.71641180872103
2027-07-01,423.1365353707276
2027-08-01,421.07380552940856
2027-09-01,419.55692588354077
2027-10-01,419.72990274453883
2027-11-01,421.0850581386149
2027-12-01,422.5588627754019
2028-01-01,423.6973255398139
2028-02-01,424.52700939115016
2028-03-01,425.3726390487464
2028-04-01,426.7868264077077
2028-05-01,427.1632964863221
2028-06-01,426.62628769007193
2028-07-01,425.0469150284729
2028-08-01,422.98484293137807
2028-09-01,421.46844697406993
2028-10-01,421.64136867780553
2028-11-01,422.9960919524564
2028-12-01,424.4694266360445
2029-01-01,425.60752637797395
2029-02-01,426.4369456673932
2029-03-01,427.28230567842115
2029-04-01,428.69604209438995
2029-05-01,429.0723921277057
2029-06-01,428.5355545678564
2029-07-01,426.9566855220122
2029-08-01,424.89527095940616
2029-09-01,423.3793585364235
2029-10-01,423.5522251004847
2029-11-01,424.9065163935007
2029-12-01,426.3793812737442
2030-01-01,427.5171181089484
2030-02-01,428.3462729208117
2030-03-01,429.1913633712537
2030-04-01,430.60464898802263
2030-05-01,430.9808790143187
2030-06-01,430.44421263626805
2030-07-01,428.8658470455903
2030-08-01,426.8050898078045
2030-09-01,425.28966076496243
2030-10-01,425.46247220693164
2030-11-01,426.816331656059
2030-12-01,428.2887268827644
2031-01-01,429.4261009269637
2031-02-01,430.2549913456052
2031-03-01,431.0998123214163
2031-04-01,432.51264728273196
2031-05-01,432.8887573402751
2031-06-01,432.3522620894382
2031-07-01,430.7743997933898
2031-08-01,428.7142996708227
2031-09-01,427.1993538539854
2031-10-01,427.3721101914394
2031-11-01,428.7255379343805
2031-12-01,430.1974636573067
2032-01-01,431.3344750261845
2032-02-01,432.16310113591146
2032-03-01,433.0076527230192
2032-04-01,434.42003717258245
2032-05-01,434.79602729962716
2032-06-01,434.2597031214366
2032-07-01,432.6823439595316
2032-08-01,430.62290074264826
2032-09-01,429.108437997729
2032-10-01,429.28113924823907
2032-11-01,430.63413542265243
2032-12-01,432.1055917915104
2033-01-01,433.24224060071333
2033-02-01,434.0706024858061
2033-03-01,434.91488477011063
2033-04-01,436.3268188515765
2033-05-01,436.70268908636507
2033-06-01,436.1665359262707
2033-07-01,434.5896797380743
2033-08-01,432.53089321740674
2033-09-01,431.01691339036813
2033-10-01,431.18955957149984
2033-11-01,432.542124315
2033-12-01,434.013111479453
2034-01-01,435.1493978445907
2034-02-01,435.9774955893028
2034-03-01,436.821508656677
2034-04-01,438.2329925136547
2034-05-01,438.60874289441733
2034-06-01,438.0727606978865
2034-07-01,436.4964073230152
2034-08-01,434.43827728916216
2034-09-01,432.92478022601574
2034-10-01,433.09737135532913
2034-11-01,434.4495048054868
2034-12-01,435.9200229151504
2035-01-01,437.05594695179565
2035-02-01,437.8837806403538
2035-03-01,438.72752457664296
2035-04-01,440.13855835269595
2035-05-01,440.51418891765053
2035-06-01,439.978377630168
2035-07-01,438.40252690828925
2035-08-01,436.3450531519163
2035-09-01,434.83203869872284
2035-10-01,435.00457479377235
2035-11-01,436.35627708811444
2035-12-01,437.82632629255653
2036-01-01,438.9618881162453
2036-02-01,439.7894578328492
2036-03-01,440.6329327238715
2036-04-01,442.04351656251737
2036-05-01,442.4190273498697
2036-06-01,441.8833869169375
2036-07-01,440.30803868777
2036-08-01,438.25122099960953
2036-09-01,436.73868900247874
2036-10-01,436.9111700808132
2036-11-01,438.2624413568226
2036-12-01,439.7320218055633
2037-01-01,440.8672215317947
2037-02-01,441.6945273606173
2037-03-01,442.5377332921633
2037-04-01,443.94786733687397
2037-05-01,444.32325838481756
2037-06-01,443.7877887519553
2037-07-01,442.2129428552688
2037-08-01,440.15678102611975
2037-09-01,438.64473133121055
2037-10-01,438.8171574103731
2037-11-01,440.167997805489
2037-12-01,441.63710964800083
2038-01-01,442.77194739223717
2038-02-01,443.5989894174246
2038-03-01,444.4419264752576
2038-04-01,445.8516108694592
2038-05-01,446.2268822161755
2038-06-01,445.69158332891993
2038-07-01,444.11723960453526
2038-08-01,442.06173342526336
2038-09-01,440.55016587878373
2038-10-01,440.722536976312
2038-11-01,442.0729466279297
2038-12-01,443.54159001363746
2039-01-01,444.67606589130423
2039-02-01,445.50284419697573
2039-03-01,446.34551246683174
2039-04-01,447.75474735390463
2039-05-01,448.12989903756284
2039-06-01,447.5947708414682
2039-07-01,446.02092912925735
2039-08-01,443.9660783907951
2039-09-01,442.45499283900193
2039-10-01,442.627308972428
2039-11-01,443.977288017899
2039-12-01,445.44546309617994
2040-01-01,446.57957722266576
2040-02-01,447.4060918929138
2040-03-01,448.24849146050144
2040-04-01,449.6572769837803
2040-05-01,450.0323090425375
2040-06-01,449.4973514831754
2040-07-01,447.92401162306135
2040-08-01,445.8698161164078
2040-09-01,444.3592124056071
2040-10-01,444.5314735924574
2040-11-01,445.8810221690894
2040-12-01,447.348729089273
2041-01-01,448.48248157992975
2041-02-01,449.30873269881994
2041-03-01,450.1508636498205
2041-04-01,451.5591999525944
2041-05-01,451.9341124245954
2041-06-01,451.39932544755476
2041-07-01,449.8264872795116
2041-08-01,447.7729467957325
2041-09-01,446.26282477227926
2041-10-01,446.4350310300747
2041-11-01,447.78414927513165
2041-12-01,449.2513881864998
2042-01-01,450.38477915664265
2042-02-01,451.2107668082138
2042-03-01,452.05262922828126
2042-04-01,453.4605164537934
2042-05-01,453.83530937717103
2042-06-01,453.3006929280581
2042-07-01,451.7283562921108
2042-08-01,449.6754706223385
2042-09-01,448.16583013263676
2042-10-01,448.3379814788926
2042-11-01,449.6866695295946
2042-12-01,451.1534405813817
2043-01-01,452.2864701462889
2043-02-01,453.112194414553
2043-03-01,453.953788389314
2043-04-01,455.361226680762
2043-05-01,455.73590009363676
2043-06-01,455.2014541180752
2043-07-01,453.6296188542999
2043-08-01,451.5773877897334
2043-09-01,450.0682286802361
2043-10-01,450.2403251324619
2043-11-01,451.58858312598545
2043-12-01,453.05488646737814
2044-01-01,454.18755474229124
2044-02-01,455.0130157112336
2044-03-01,455.8543413262875
2044-04-01,457.26133082682327
2044-05-01,457.63588476730354
2044-06-01,457.1016092109343
2044-07-01,455.5302751594581
2044-08-01,453.4786984913629
2044-09-01,451.97002060857193
2044-10-01,452.14206218427194
2044-11-01,453.4898902577496
2044-12-01,454.95572603788713
2045-01-01,456.088033138011
2045-02-01,456.91323089159005
2045-03-01,457.75428823250894
2045-04-01,459.1608290852388
2045-05-01,459.53526359142086
2045-06-01,459.0011583999023
2045-07-01,457.4303254009032
2045-08-01,455.37940292061137
2045-09-01,453.87120611107764
2045-10-01,454.0431928277503
2045-11-01,455.39059111827106
2045-12-01,456.855959486245
2046-01-01,457.9879055267477
2046-02-01,458.8128401488951
2046-03-01,459.6536293012237
2046-04-01,461.0597216492083
2046-05-01,461.43403675917625
2046-06-01,460.90010187818393
2046-07-01,459.329769771891
2046-08-01,457.27950127080123
2046-09-01,455.7717853811246
2046-10-01,455.94371725626286
2046-11-01,457.2906859008719
2046-12-01,458.75558700572634
2047-01-01,459.88717210173917
2047-02-01,460.7118436763598
2047-03-01,461.55236472561575
2047-04-01,462.9580087118702
2047-05-01,463.33220446369603
2047-06-01,462.79843983892295
2047-07-01,461.2286084656161
2047-08-01,459.17899373519356
2047-09-01,457.67175861202264
2047-10-01,457.8436356631139
2047-11-01,459.19017479881273
2047-12-01,460.6546087895442
2048-01-01,461.7858330561619
